model,paradigm,layer,layer_frac,d_model,PR,PR_over_d,effective_rank,ER_over_d,anisotropy
Gemma2-2B,transformer,22,0.8461538461538461,2304,4.670409940455901,0.002027087647767318,8.450549684360645,0.003667773300503752,0.9205683904371758
Gemma2-2B,transformer,23,0.8846153846153846,2304,5.226392306595079,0.002268399438626336,9.057433310932606,0.0039311776523144985,0.9133527221618782
Gemma2-2B,transformer,24,0.9230769230769231,2304,5.559827064582026,0.002413119385669282,9.358247713463033,0.00406173945896833,0.8949364902261618
Gemma2-2B,transformer,25,0.9615384615384616,2304,6.483258962446354,0.0028139144802284523,9.952406509433827,0.004319620880830654,0.8625023115197041
Mamba-790M,ssm,2,0.041666666666666664,1536,12.30426576595681,0.008010589691378132,13.546236755899168,0.008819164554621855,0.8278928790256611
Mamba-790M,ssm,3,0.0625,1536,12.28531051841425,0.007998249035425944,13.552852713679728,0.008823471818801906,0.8246106829252734
Mamba-790M,ssm,4,0.08333333333333333,1536,12.216442533833959,0.007953413107964817,13.514448714740514,0.008798469215325856,0.8254623707809413
Mamba-790M,ssm,5,0.10416666666666667,1536,12.156412152754095,0.007914330828615947,13.481306049349921,0.008776891959212189,0.8220996093191926
Mamba-790M,ssm,6,0.125,1536,12.393182664441794,0.008068478297162627,13.610469184914074,0.008860982542261767,0.8317880279360798
Mamba-790M,ssm,7,0.14583333333333334,1536,11.898320657061142,0.007746302511107514,13.361112120018428,0.008698640703136997,0.8204393332799929
Mamba-790M,ssm,8,0.16666666666666666,1536,11.764215047913062,0.0076589941718183995,13.194392819662832,0.00859009949196799,0.811485854212027
Mamba-790M,ssm,9,0.1875,1536,11.410037945897166,0.0074284101210268004,13.029423356885669,0.00848269749797244,0.806553989645994
Mamba-790M,ssm,10,0.20833333333333334,1536,11.612432215893683,0.007560177223889117,13.166554086275353,0.008571975316585516,0.7997328338512232
Mamba-790M,ssm,11,0.22916666666666666,1536,11.857421893792159,0.00771967571210427,13.283931430166207,0.008648392858181125,0.8103675303676039
Mamba-790M,ssm,12,0.25,1536,12.21936617006291,0.00795531651696804,13.469287521902492,0.008769067397071935,0.8041129007450609
Mamba-790M,ssm,13,0.2708333333333333,1536,12.174144055773022,0.007925875036310561,13.439209356023884,0.00874948525782805,0.7934308134071794
Mamba-790M,ssm,14,0.2916666666666667,1536,12.244580156772228,0.007971731872898586,13.480285787808016,0.00877622772643751,0.8100043226871495
Mamba-790M,ssm,15,0.3125,1536,12.358211611554427,0.008045710684605746,13.532645074069178,0.008810315803430455,0.8091108835031195
Mamba-790M,ssm,16,0.3333333333333333,1536,12.498397227623663,0.008136977361734155,13.596043820017998,0.008851591028657551,0.8023354599601962
Mamba-790M,ssm,17,0.3541666666666667,1536,12.41761521866052,0.00808438490798211,13.54241681750174,0.00881667761556103,0.7899682623920413
Mamba-790M,ssm,18,0.375,1536,12.46413403160161,0.00811467059349063,13.576920216580467,0.008839140766002907,0.8024447220427402
Mamba-790M,ssm,19,0.3958333333333333,1536,11.970242858226182,0.007793126860824337,13.333778155137255,0.00868084515308415,0.8205703349033389
Mamba-790M,ssm,20,0.4166666666666667,1536,11.945069024483766,0.007776737646148286,13.319871174132286,0.008671791128992374,0.8222735554453904
Mamba-790M,ssm,21,0.4375,1536,12.192242898964075,0.007937658137346404,13.465616993568881,0.008766677730188074,0.8268560808813503
Mamba-790M,ssm,22,0.4583333333333333,1536,11.978192413853268,0.007798302352769054,13.34221346555997,0.008686336891640606,0.8337487214256798
Mamba-790M,ssm,23,0.4791666666666667,1536,12.044622594558565,0.007841551168332399,13.370396074328816,0.00870468494422449,0.8438960879372667
