model_id,org,inferred_paradigm,arch_key,release_date,release_month,downloads,log10_downloads,adoption_residual,log10_params,param_b,recency_months,support_score,measured_tax,support_score_at_release,support_gain_after_release,frameworks_supported_at_release,first_shock_date,post_first_shock_release,months_from_first_shock,imbalance_weight
Qwen/Qwen3-4B,Qwen,transformer,qwen3,2025-04-27,2025-04-01,5120931.0,6.709349008948857,2.1418796462163794,9.604492608200253,4.022468096,7.9500657030223385,0.9,0.09999999999999998,0.0,0.9,0,2025-04-29,0.0,-0.0657030223390276,0.399663630719621
Qwen/Qwen3-8B,Qwen,transformer,qwen3,2025-04-27,2025-04-01,4744158.0,6.676159235934929,2.0340525610492337,9.913322894245605,8.19073536,7.9500657030223385,0.9,0.09999999999999998,0.0,0.9,0,2025-04-29,0.0,-0.0657030223390276,0.399663630719621
RWKV-Red-Team/ARWKV-R1-7B,RWKV-Red-Team,rwkv,arwkv7,2025-02-07,2025-02-01,16.0,1.2304489213782739,-3.300694709728729,9.917262144042647,8.26536704,10.545335085413928,0.275,0.725,0.0,0.275,0,2025-03-01,0.0,-0.7227332457293035,3.0287165863597787
RWKV/v5-Eagle-7B-HF,RWKV,rwkv,rwkv5,2024-01-29,2024-01-01,5904.0,3.7712199019495336,,,,22.864651773981603,0.275,0.725,0.2142857142857143,0.06071428571428572,1,2023-05-09,1.0,8.705650459921156,3.0287165863597787
RWKV/v6-Finch-3B-HF,RWKV,rwkv,rwkv6,2024-07-21,2024-07-01,7.0,0.9030899869919435,,,,17.1484888304862,0.275,0.725,0.0,0.275,0,2024-09-01,0.0,-1.3797634691195795,1.5143582931798893
RWKV/v6-Finch-7B-HF,RWKV,rwkv,rwkv6,2024-07-21,2024-07-01,5221.0,3.7178368674869255,-0.5202445505136342,9.882851519742971,7.635746816,17.1484888304862,0.275,0.725,0.0,0.275,0,2024-09-01,0.0,-1.3797634691195795,1.5143582931798893
Spiral-AI/Spiral-RetNet-3b-base,Spiral-AI,transformer,retnet,2024-04-30,2024-04-01,2.0,0.47712125471966244,-3.5415847165956764,9.45579288840567,2.856228106,19.842312746386334,0.075,0.925,0.5,-0.425,1,2023-12-01,1.0,4.9605781865965834,0.9789719640111957
Zyphra/Zamba2-2.7B,Zyphra,hybrid,zamba2,2024-07-09,2024-07-01,559.0,2.7481880270062002,-1.362299991985918,9.42524305432008,2.66221456,17.542706964520367,0.525,0.475,0.0,0.525,0,2025-01-15,0.0,-6.241787122207621,0.6542775615054915
Zyphra/Zamba2-2.7B-instruct,Zyphra,hybrid,zamba2,2024-08-29,2024-08-01,198.0,2.298853076409707,-1.8838839128398877,9.42524305432008,2.66221456,15.867279894875164,0.525,0.475,0.0,0.525,0,2025-01-15,0.0,-4.566360052562418,0.6542775615054915
Zyphra/Zamba2-7B,Zyphra,ssm,zamba2,2024-09-27,2024-09-01,34.0,1.5440680443502757,-2.7864384870829646,9.866685977145924,7.356749648,14.914586070959263,0.525,0.475,0.0,0.525,0,2025-01-15,0.0,-3.6136662286465175,0.8743151682169514
