model_a,paradigm_a,model_b,paradigm_b,layer,layer_frac,cka,rdi
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,20,0.7142857142857143,0.9818704373075575,0.01812956269244248
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,21,0.75,0.9733483835014972,0.026651616498502784
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,22,0.7857142857142857,0.9559053252011454,0.04409467479885465
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,23,0.8214285714285714,0.9345985754946661,0.06540142450533393
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,24,0.8571428571428571,0.9190280684429184,0.0809719315570816
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,25,0.8928571428571429,0.8803440021257369,0.11965599787426306
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,26,0.9285714285714286,0.8552317332668316,0.14476826673316845
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,27,0.9642857142857143,0.7920440848452514,0.20795591515474865
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,28,1.0,0.7814405715274443,0.21855942847255572
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,0,0.0,0.9601607462465207,0.0398392537534793
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,1,0.03571428571428571,0.9654785571941708,0.03452144280582925
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,2,0.07142857142857142,0.45442309650385393,0.5455769034961461
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,3,0.10714285714285714,0.9705904667347589,0.029409533265241095
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,4,0.14285714285714285,0.9704196369574005,0.029580363042599478
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,5,0.17857142857142858,0.9702708261993394,0.029729173800660647
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,6,0.21428571428571427,0.9696185304005184,0.030381469599481625
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,7,0.25,0.9698643892179598,0.03013561078204019
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,8,0.2857142857142857,0.9700206895621724,0.029979310437827644
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,9,0.32142857142857145,0.9691977724070836,0.030802227592916398
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,10,0.35714285714285715,0.9695071948834808,0.030492805116519195
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,11,0.39285714285714285,0.968524642922306,0.031475357077694
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,12,0.42857142857142855,0.969009266768253,0.030990733231746947
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,13,0.4642857142857143,0.9686024676287929,0.031397532371207126
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,14,0.5,0.9691027961265105,0.030897203873489487
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,15,0.5357142857142857,0.9690327383497198,0.030967261650280187
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,16,0.5714285714285714,0.970215181999167,0.02978481800083299
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,17,0.6071428571428571,0.9689385909563414,0.031061409043658617
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,18,0.6428571428571429,0.9700591473449445,0.029940852655055528
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,19,0.6785714285714286,0.9709172861526445,0.0290827138473555
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,20,0.7142857142857143,0.9702818640994747,0.0297181359005253
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,21,0.75,0.9651280981497786,0.034871901850221376
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,22,0.7857142857142857,0.9648673877914916,0.035132612208508385
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,23,0.8214285714285714,0.9653640861762495,0.03463591382375053
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,24,0.8571428571428571,0.9628829389738555,0.03711706102614454
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,25,0.8928571428571429,0.9561512887975038,0.04384871120249623
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,26,0.9285714285714286,0.961855681137144,0.038144318862855964
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,27,0.9642857142857143,0.9510764827710643,0.04892351722893573
DSR1-1.5B,reasoning,Qwen3-0.6B,transformer,28,1.0,0.902440895209632,0.097559104790368
DSR1-1.5B,reasoning,Gemma3-1B,transformer,0,0.0,0.9089088326504533,0.0910911673495467
DSR1-1.5B,reasoning,Gemma3-1B,transformer,1,0.038461538461538464,0.7883146639889417,0.21168533601105832
DSR1-1.5B,reasoning,Gemma3-1B,transformer,2,0.07692307692307693,0.8546638710891155,0.14533612891088454
DSR1-1.5B,reasoning,Gemma3-1B,transformer,3,0.11538461538461539,0.9094549408537187,0.0905450591462813
DSR1-1.5B,reasoning,Gemma3-1B,transformer,4,0.15384615384615385,0.9594691961944025,0.04053080380559748
DSR1-1.5B,reasoning,Gemma3-1B,transformer,5,0.19230769230769232,0.9384517433381191,0.06154825666188091
DSR1-1.5B,reasoning,Gemma3-1B,transformer,6,0.23076923076923078,0.9601616052354567,0.03983839476454332
DSR1-1.5B,reasoning,Gemma3-1B,transformer,7,0.2692307692307692,0.9639341804828436,0.03606581951715637
DSR1-1.5B,reasoning,Gemma3-1B,transformer,8,0.3076923076923077,0.9552721382714654,0.0447278617285346
DSR1-1.5B,reasoning,Gemma3-1B,transformer,9,0.34615384615384615,0.9315192451123173,0.06848075488768268
DSR1-1.5B,reasoning,Gemma3-1B,transformer,10,0.38461538461538464,0.9318084585052199,0.06819154149478013
DSR1-1.5B,reasoning,Gemma3-1B,transformer,11,0.4230769230769231,0.9293144732223665,0.07068552677763351
DSR1-1.5B,reasoning,Gemma3-1B,transformer,12,0.46153846153846156,0.937326550470148,0.06267344952985199
DSR1-1.5B,reasoning,Gemma3-1B,transformer,13,0.5,0.9209809897682024,0.07901901023179758
DSR1-1.5B,reasoning,Gemma3-1B,transformer,14,0.5384615384615384,0.9180437264105386,0.08195627358946145
DSR1-1.5B,reasoning,Gemma3-1B,transformer,15,0.5769230769230769,0.9169656612661626,0.08303433873383737
DSR1-1.5B,reasoning,Gemma3-1B,transformer,16,0.6153846153846154,0.9198720716821002,0.08012792831789983
DSR1-1.5B,reasoning,Gemma3-1B,transformer,17,0.6538461538461539,0.9210862868240941,0.0789137131759059
DSR1-1.5B,reasoning,Gemma3-1B,transformer,18,0.6923076923076923,0.8540138233344956,0.1459861766655044
DSR1-1.5B,reasoning,Gemma3-1B,transformer,19,0.7307692307692307,0.7981836482993824,0.20181635170061762
DSR1-1.5B,reasoning,Gemma3-1B,transformer,20,0.7692307692307693,0.7542380483811947,0.24576195161880532
DSR1-1.5B,reasoning,Gemma3-1B,transformer,21,0.8076923076923077,0.6947888168160328,0.3052111831839672
DSR1-1.5B,reasoning,Gemma3-1B,transformer,22,0.8461538461538461,0.650473406814146,0.349526593185854
DSR1-1.5B,reasoning,Gemma3-1B,transformer,23,0.8846153846153846,0.6399278922421826,0.3600721077578174
DSR1-1.5B,reasoning,Gemma3-1B,transformer,24,0.9230769230769231,0.5695881275300461,0.43041187246995394
DSR1-1.5B,reasoning,Gemma3-1B,transformer,25,0.9615384615384616,0.3956809989203344,0.6043190010796655
DSR1-1.5B,reasoning,Gemma3-1B,transformer,26,1.0,0.3161527054630091,0.6838472945369909
DSR1-1.5B,reasoning,Gemma2-2B,transformer,0,0.0,0.9264459731094306,0.07355402689056945
DSR1-1.5B,reasoning,Gemma2-2B,transformer,1,0.038461538461538464,0.8865393288397742,0.11346067116022585
DSR1-1.5B,reasoning,Gemma2-2B,transformer,2,0.07692307692307693,0.8845959673202367,0.11540403267976329
DSR1-1.5B,reasoning,Gemma2-2B,transformer,3,0.11538461538461539,0.8950744084271309,0.10492559157286907
DSR1-1.5B,reasoning,Gemma2-2B,transformer,4,0.15384615384615385,0.9013587289858362,0.09864127101416376
DSR1-1.5B,reasoning,Gemma2-2B,transformer,5,0.19230769230769232,0.9271952829865279,0.07280471701347213
DSR1-1.5B,reasoning,Gemma2-2B,transformer,6,0.23076923076923078,0.9345494392872803,0.06545056071271971
DSR1-1.5B,reasoning,Gemma2-2B,transformer,7,0.2692307692307692,0.947859680823538,0.052140319176462
DSR1-1.5B,reasoning,Gemma2-2B,transformer,8,0.3076923076923077,0.9533480793253828,0.04665192067461721
DSR1-1.5B,reasoning,Gemma2-2B,transformer,9,0.34615384615384615,0.9511234413424232,0.048876558657576785
DSR1-1.5B,reasoning,Gemma2-2B,transformer,10,0.38461538461538464,0.9610094827959573,0.038990517204042674
DSR1-1.5B,reasoning,Gemma2-2B,transformer,11,0.4230769230769231,0.9659815778570119,0.034018422142988114
DSR1-1.5B,reasoning,Gemma2-2B,transformer,12,0.46153846153846156,0.9661786009224579,0.033821399077542114
DSR1-1.5B,reasoning,Gemma2-2B,transformer,13,0.5,0.9685859631371551,0.03141403686284494
DSR1-1.5B,reasoning,Gemma2-2B,transformer,14,0.5384615384615384,0.9620717423440546,0.03792825765594543
DSR1-1.5B,reasoning,Gemma2-2B,transformer,15,0.5769230769230769,0.9604602131881559,0.03953978681184411
DSR1-1.5B,reasoning,Gemma2-2B,transformer,16,0.6153846153846154,0.9553285127454002,0.044671487254599795
DSR1-1.5B,reasoning,Gemma2-2B,transformer,17,0.6538461538461539,0.9411249053215691,0.058875094678430884
DSR1-1.5B,reasoning,Gemma2-2B,transformer,18,0.6923076923076923,0.9442136366772994,0.055786363322700594
DSR1-1.5B,reasoning,Gemma2-2B,transformer,19,0.7307692307692307,0.930670390546686,0.06932960945331401
DSR1-1.5B,reasoning,Gemma2-2B,transformer,20,0.7692307692307693,0.9310360303393099,0.06896396966069007
DSR1-1.5B,reasoning,Gemma2-2B,transformer,21,0.8076923076923077,0.9254314038362691,0.0745685961637309
DSR1-1.5B,reasoning,Gemma2-2B,transformer,22,0.8461538461538461,0.909120913869128,0.09087908613087203
DSR1-1.5B,reasoning,Gemma2-2B,transformer,23,0.8846153846153846,0.8996701659636825,0.10032983403631746
